time;logger;level;message;exception
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ProductTotalPricePerCategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000002, 29-03-2012 06:40:36;
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;All documents have been filtered for ComplexCategoryIndex, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000002, 29-03-2012 06:40:36;
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: CategoryIndex, LastIndexedEtag: 00000000-0000-0500-0000-000000000001;
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0500-0000-000000000001;
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: CategoryIndex. (categories-102273);
2012-03-29 08:40:36.1529;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: Raven/DocumentsByEntityName. (categories-102273);
2012-03-29 08:40:36.1529;Raven.Database.Server.HttpServer;Debug;Request #  10: POST    -    89 ms - <default>  - 200 - /bulk_docs;
2012-03-29 08:40:36.1689;Raven.Database.Server.HttpServer;Debug;"	PUT categories-102273
";
2012-03-29 08:40:36.5099;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on categories-102273 result in index CategoryIndex gave document: 	__document_id IS: categories-102273
	Id I-: categories-102273
	Description I-: unit-test-category
";
2012-03-29 08:40:36.5359;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on categories-102273 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: categories-102273
	Tag I-: Categories
	LastModified I-: 20120329064036139
";
2012-03-29 08:40:36.8790;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for CategoryIndex;
2012-03-29 08:40:36.8790;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for Raven/DocumentsByEntityName;
2012-03-29 08:40:36.8790;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 4 because: WORK BY IndexingExecuter;
2012-03-29 08:40:36.8790;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work;
2012-03-29 08:40:36.9180;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 4, for: IndexingExecuter, will wait for additional work;
2012-03-29 08:40:52.7676;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Hilo/products' was not found;
2012-03-29 08:40:52.7676;Raven.Database.Server.HttpServer;Debug;Request #  11: GET     -     0 ms - <default>  - 404 - /docs/Raven/Hilo/products;
2012-03-29 08:40:52.9946;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'Raven/Hilo/products', update: False, ;
